;text;label
0;Da, au infrant gheii. Fugi, Serbane, ca te alearga hoardele de pederasti si e vai de poponetul tau :));1
1;Tricouri cu votez Da la referendum si apoi sa vorbim cu fiecare persoana despre referendum  !!! Am speranta ca osa pastram familia naturala /casatoria naturala asa cum a lasat-o Dumnezeu !;1
2;Votez DA pentru Normalitate! Votez DA pentru FAMILIE!;1
3;...:D...Chiar nu credeam ca exista atatia homosexuali in Romania!...:D... Citind comentariile, vad cu stupoare ca pomohacii jubileaza(sau ''juiseaza?!...) la vederea procentelor de sambata...:D... Dar, in totala lor dobitocie, nu realizeaza ca sambata toata lumea are si altceva de facut decat sa voteze. Duminica este ziua traditionala de mers la votare, asa ca toti pomohacii vor lua o muitza in cel mai curat stil romanesc...:D...;1
4;Vorbiți cu atâta ușurință și ignoranță că nu vreți să votați modificarea art 48 al constituției care redefinește căsătoria că fiind uniunea liber consimțită între un bărbat și o femeie în loc de soți, căci fiecare dintre voi a avut parte de o mamă și un tată care v-au dat viață, nu ați crescut cu părinte 1 și părinte 2 de același sex, nu ați învățat la școală că sunteți de un gen superfluid, azi posibil băiat, peste un timp posibil fata, cu grave consecințe asupra psihicului tânărului care devine atât de confuz privind identitatea lui... Suntem direct răspunzători pentru generațiile viitoare acum, prin votul nostru!;1
5;Oamenii. cu gandire sanatoasa nu intra in capcana homosexualilor vom merge si ne vom sustine normalitatea;1
6;Pro familie alcatuita din barbat si femeie asa cum este normal nu am nimic cu nimeni atata timp cat fiecare isi manifesta dorintele si orientarea in intimitate, dar din moment ce apar in societate cu asemenea comportament barbat cu barbat femeie cu femeie tulbura si ne mai miram de ce ne merge rau exista un singur raspuns  Noi permitem asa ceva prin actiunile noastre. Daca vom continua asa vom ajunge precum locuitorii cetatilor  biblice Sodoma si Gomora.;1
7;Copii homosexuali se nasc din familii heterosexuale. Nu acesti copii aleg să fie homosexuali. La fel se nasc copii surzi, cu autism, cu nanism, cu piele colorată. Noi avem obligația sa-i înțelegem și sa-i iubim compasionat.;1
8;Eu am votat pentru familia traditionala, biblica, biologica, pentru  viitorul  copiilor romani , pentru a nu se perverti  inocenta lor. Pacat ca ceilalti romani nu au reusit sa inteleaga insemnatatea acestui referendum, nu avea nici o treaba cu politica ori cu biserica. Preotii si-au facut datoria sa il marturiseasca pe Hristos care a binecuvantat casatoria dintre un barbat si o femeie la nunta din Cana Galileiei. Acest referendum  oprea Ong -urile straine de homosexuali sa isi faca de cap aici in tara folosindu-se de naivitatea unor romani  fara credinta.;1
9;Invata sex pe copiii tai dar poate ca nu -i ai ca esti lesbiana;1
10;Da,cu toată inima!!!Pt Dumnezeu, copiii nostri și pt neamul nostru românesc!!!Doamne,ajuta-ne!!!Doamne, îndura-te de Romania!!!;1
11;Dacă un individ consideră și se declară că el este Napoleon, Hitler ori Stalin, are toate drepturile de la Socola ori Spitalul 9, dar dacă un individ ce a fost înzestrat de la natură cu cromozoni XY se declară că el este posesorul de cromozoni XX, asta este perfet normal conform referendumului. Intră în sfera penalului să umbli cu cioara vopsită și să declari altcceva decât ce este evident.;1
